Organization,Role(s),Website,Email,Source notes
2080 Ventures,Investor,https://2080.vc/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://2080.vc/ during this pass
4Rounds,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
500 Global,Investor,https://500.co/,press@500.co,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; verified on https://500.co/contact
76Columbus Family Investment,Investor,https://76columbus.com/,—,Logo/testimonial on Investor Program page; Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://76columbus.com/ during this pass
9900 Capital,Investor,https://9900.capital/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://9900.capital/ during this pass
Abdul Latif Jameel United Finance Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Abwab.AI,Exhibitor,https://www.abwab.ai/,press@abwab.ai,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website set to https://www.abwab.ai/ (official domain confirmed this pass); verified on https://www.abwab.ai/contact
AdalFi,Exhibitor,https://www.adalfi.com/,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website set to https://www.adalfi.com/ (official domain confirmed this pass)
ADD For Information Technology,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Adria Global Solutions,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Agricore Technologies Pte. Ltd.,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
AgriProspero,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
"AISON TECHNOLOGY CO., LIMITED",Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
AjeerPay,Exhibitor,https://ajeerpay.com/,—,Source: https://money2020middleeast.com/2026-exhibitor; Website set to https://ajeerpay.com/ (official domain confirmed this pass)
AjelPay,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
AJSAR Advertising,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Al Bayan,Sponsor,https://www.albayan.ae/,marketing@albayan.ae,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; verified on https://www.albayan.ae/contact-us
Al Moammar Information Systems Co.,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Al Rajhi Bank,Exhibitor / Sponsor,https://www.alrajhibank.com.sa/,—,Exhibitors; Founding Partner. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.alrajhibank.com.sa/ during this pass
Al Rajhi Capital,Investor,https://www.alrajhi-capital.com/,pr@alrajhi-capital.com,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; verified on https://www.alrajhi-capital.com/
Al Rajhi Partners,Investor,https://www.alrajhipartners.com/,—,Logo/testimonial on Investor Program page; Speaker/org listed on 2026 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2026-agenda; https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://www.alrajhipartners.com/ during this pass
Al Rajhi Takaful,Sponsor,https://www.alrajhitakaful.com/,customerservice@alrajhitakaful.com,Platinum. Source: https://money2020middleeast.com/sponsors-partners; verified on https://www.alrajhitakaful.com/
Al-Adaa Raeda Company,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Alarabiyya Almumayyaza Alraqmiyya Company Finance,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
AlHuda CIBE,Sponsor,https://alhudacibe.com/,info@alhudacibe.com,Community Partner. Source: https://money2020middleeast.com/sponsors-partners; verified on https://alhudacibe.com/
Alinma Bank,Exhibitor / Sponsor,https://www.alinma.com/,—,Exhibitors; Gold. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.alinma.com/ during this pass
Aljazira Bank,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Alkhawrizmiah for Information Technology,Exhibitor,—,—,The Runway. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Alkindus,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Almamoon Insurance Brokers,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Almutanabi Quant Solutions,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Alpaca,Investor,https://alpaca.markets/,support@alpaca.markets,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; verified on https://alpaca.markets/
Alpha Power,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Alpheya,Investor,https://alpheya.com/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation); Speaker/org listed on 2026 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; https://money2020middleeast.com/2026-agenda; No verified public role inbox found at https://alpheya.com/ during this pass
AlRajhi Capital,Exhibitor,https://www.alrajhi-capital.com/,pr@alrajhi-capital.com,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website set to https://www.alrajhi-capital.com/ (official domain confirmed this pass); verified on https://www.alrajhi-capital.com/
ALRAJHI TAKAFUL INSURANCE COMPANY,Exhibitor,https://www.alrajhitakaful.com/,customerservice@alrajhitakaful.com,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website set to https://www.alrajhitakaful.com/ (official domain confirmed this pass); verified on https://www.alrajhitakaful.com/
Alteia Capital Company,Exhibitor,https://alteiacapital.com/,contact@alteiafund.com,Source: https://money2020middleeast.com/2026-exhibitor; Website set to https://alteiacapital.com/ (official domain confirmed this pass); verified on https://alteiacapital.com/
Alweaam,Sponsor,https://www.alweaam.com.sa/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.alweaam.com.sa/ during this pass
American Express,Sponsor,https://www.americanexpress.com/,—,Bridge Stage. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.americanexpress.com/ during this pass
