name,country,city,type,address,lat,lng,website,email,phone,source_url,notes
Gold Standard Riyadh Branch,SA,Riyadh,bullion,"First Floor, Al Hella Gold Market, Al Rass Street, Al Marqab District, Riyadh 12645",,,https://goldstandarddmcc.com/,saudi@goldstandarddmcc.com,+966 11 286 2024,https://goldstandarddmcc.com/contact-us/,prospect — not AURIX partner
Gold Standard Jeddah Bullion Branch,SA,Jeddah,bullion,"First floor, Ajab Al Daheb Center, 60th Street, Al Kandara District, Jeddah 21464",,,https://goldstandarddmcc.com/,saudi@goldstandarddmcc.com,+966 12 642 5200,https://goldstandarddmcc.com/contact-us/,prospect — not AURIX partner
Gold Standard Dammam Bullion Branch,SA,Dammam,bullion,"2nd Floor, Abdul Ghafour Amin Building, King Abdul Aziz Road, Dammam 31471",,,https://goldstandarddmcc.com/,saudi@goldstandarddmcc.com,+966 13 834 0654,https://goldstandarddmcc.com/contact-us/,prospect — not AURIX partner
Gold Era Riyadh,SA,Riyadh,bullion,"Store 106, First Floor, Al-Qadah Tower 2, Olaya, King Fahd Road, Riyadh",,,https://gold-era.sa/,info@gold-era.sa,+966 11 461 3163,https://gold-era.sa/,prospect — not AURIX partner
Gold Era Jeddah,SA,Jeddah,bullion,"Store A1, Gate 4, Mahmoud Saeed Gold Center, Jeddah",,,https://gold-era.sa/,info@gold-era.sa,+966 54 971 2498,https://gold-era.sa/,prospect — not AURIX partner
Joyalukkas Riyadh Lulu,SA,Riyadh,chain,"Lulu Hypermarket, Avenue Mall, Murabba, Riyadh",,,https://www.joyalukkas.com/sa/,riyadh@joyalukkas.com,+966 11 402 4916,https://stores.joyalukkas.com/sa/city/riyadh/saudi-riyadh-lulu,prospect — not AURIX partner
Joyalukkas Jeddah Madeena Street,SA,Jeddah,chain,"Lulu Hypermarket, Madina Al Munawarah Road, Ash Sharafiya-1, Jeddah 23218",21.516616,39.181493,https://www.joyalukkas.com/sa/,jeddah@joyalukkas.com,+966 55 220 1612,https://stores.joyalukkas.com/sa/city/jeddah/saudi-jeddah-madeena-st,prospect — not AURIX partner
Joyalukkas Dammam Al Wafa Mall,SA,Dammam,chain,"Ground Floor, King Khaled St, Ar Rabi, Inside Al Wafa Mall, Dammam 32241",,,https://www.joyalukkas.com/sa/,dammamalwafa@joyalukkas.com,+966 13 830 3318,https://stores.joyalukkas.com/sa/city/dammam/dammam-al-wafa-mall,prospect — not AURIX partner
Malabar Gold & Diamonds Khurais Road,SA,Riyadh,chain,"Lulu Hypermarket LLC, Exit 30, Khurais Road, Riyadh 13222",,,https://www.malabargoldanddiamonds.com/,customercare.intl@malabargroup.com,+966 11 491 9909,https://www.malabargoldanddiamonds.com/us/stores/saudi-arabia/ar-riyad/riyadh/khurais-road-store,prospect — not AURIX partner
Malabar Gold & Diamonds Jeddah Lulu Mall,SA,Jeddah,chain,"First Floor, Lulu Hypermarket, Madeena Road, Jeddah",,,https://www.malabargoldanddiamonds.com/,customercare.intl@malabargroup.com,+966 54 231 9349,https://www.malabargoldanddiamonds.com/us/stores/saudi-arabia/makkah/jeddah/lulu-mall-store,prospect — not AURIX partner
Al Romaizan Thumairi Gold Market,SA,Riyadh,chain,"Thumairi Gold Market, Al Dirah, Riyadh",,,https://alromaizan.com/,,920012954,https://alromaizan.com/stores/saudi-arabia/riyadh/thumairi-gold-market-al-dirah-4,prospect — not AURIX partner
Al Romaizan Al Taamer Commercial Center,SA,Riyadh,chain,"Al-Tameer Commercial Center, Al Dirah, Riyadh",,,https://alromaizan.com/,,920012954,https://alromaizan.com/stores/saudi-arabia/riyadh/al-taamer-commercial-center-al-dirah-1,prospect — not AURIX partner
L'azurde Westfield Dammam,SA,Dammam,chain,"Ground Floor, Westfield Dammam, 3543 King Fahd Road, Al Manar, Dammam 32274",,,https://www.lazurde.com/,,013823306,https://www.westfield.com/en/saudi-arabia/dammam/shops/lazurde/83833,prospect — not AURIX partner
Thumairi / Al Dirah Gold Market,SA,Riyadh,souk,"Al Thumairi Street / Al Dirah District gold market area, Riyadh",,,,,,"https://alromaizan.com/stores/saudi-arabia/riyadh/thumairi-gold-market-al-dirah-4",prospect — not AURIX partner; historic Riyadh gold souk district
Ajab Al Daheb Center,SA,Jeddah,souk,"Ajab Al Daheb Center, 60th Street, Al Kandara District, Jeddah",,,,,,"https://goldstandarddmcc.com/contact-us/",prospect — not AURIX partner; Jeddah gold trading center
L'azurde Citystars Nasr City,EG,Cairo,chain,"Omar Ibn El Khattab St., Nasr City, Inside Citystars Phase 1, 2nd Floor, Shop 233A, Cairo",,,https://www.lazurde.com/en-eg/,,+20 2 2677 5495,https://yellowpages.com.eg/en/profile/%D9%84%D8%A7%D8%B2%D9%88%D8%B1%D8%AF%D9%89/612739,prospect — not AURIX partner
L'azurde Maadi,EG,Cairo,chain,"17 Road 216, Maadi, Cairo",,,https://www.lazurde.com/en-eg/,,+20 2 2517 4847,https://yellowpages.com.eg/en/profile/%D9%84%D8%A7%D8%B2%D9%88%D8%B1%D8%AF%D9%89/612739,prospect — not AURIX partner
L'azurde Heliopolis,EG,Cairo,chain,"3 Haroun El Rashid St., near El Esaaf Pharmacy, Heliopolis, Cairo",,,https://www.lazurde.com/en-eg/,,+20 2 2622 2639,https://yellowpages.com.eg/en/profile/%D9%84%D8%A7%D8%B2%D9%88%D8%B1%D8%AF%D9%89/612739,prospect — not AURIX partner
L'azurde City Centre Alexandria,EG,Alexandria,chain,"Km 6 Alex-Cairo Desert Rd, Inside City Centre Alexandria, Gate 12, Ground Floor, Alexandria",,,https://www.lazurde.com/en-eg/,,+20 3 4253 095,https://yellowpages.com.eg/en/profile/%D9%84%D8%A7%D8%B2%D9%88%D8%B1%D8%AF%D9%89/612739,prospect — not AURIX partner
L'azurde Semouha Alexandria,EG,Alexandria,jewelry,"El Saraya Towers, Albert El Awal St., Semouha Sq., near Aly Ibn Abi Taleb Mosque, Alexandria",,,https://www.lazurde.com/en-eg/,,,https://yellowpages.com.eg/en/profile/%D9%84%D8%A7%D8%B2%D9%88%D8%B1%D8%AF%D9%89/612739,prospect — not AURIX partner
Damas Roshdy Alexandria,EG,Alexandria,chain,"168 Ahmed Shawky St., Roshdy, Alexandria",,,,,+20 3 5223550,https://www.140online.com/Company.aspx?CompanyId=N2461&Lang=En&a=265&c=3,prospect — not AURIX partner
Damas City Centre Alexandria,EG,Alexandria,chain,"Km 6 Alex-Cairo Desert Rd, Inside City Centre Alexandria, Shop G73, Alexandria",,,,,+20 3 3680230,https://www.140online.com/Company.aspx?CompanyId=N2461&Lang=En&a=123&c=3,prospect — not AURIX partner
Damas Maadi City Centre,EG,Cairo,chain,"Ring Road, El Mearag City, Inside Maadi City Centre Gate 3, Shop 32, Zahraa El Maadi, Cairo",,,,,,"https://dalil140.com/branches/ar/227493-damas",prospect — not AURIX partner
Atlas Jewelry Khan El Khalili,EG,Cairo,jewelry,"10 Khan El Khalily St., Azhar / Khan El Khalili, Cairo",,,,,+20 2 2591 8833,https://egy.soopage.com/company/ATLAS-JEWELRY_9Bg.html,prospect — not AURIX partner
Azza Fahmy Zamalek Boutique,EG,Cairo,jewelry,"13 Mohammed Maraashly St., Zamalek, Cairo",,,https://www.azzafahmy.com/,,+20 10 6664 2365,https://wanderlog.com/place/details/4763154/azza-fahmy,prospect — not AURIX partner
Khan El Khalili Gold Market,EG,Cairo,souk,"Khan El Khalili / Al Azhar gold jewelry district, Cairo",,,,,,"https://egy.soopage.com/company/ATLAS-JEWELRY_9Bg.html",prospect — not AURIX partner; historic Cairo gold souk
Alex Exchange Raml Station,EG,Alexandria,exchange,"23 Saad Zaghloul Square, Raml Station, beside Khalil Pharmacy, Alexandria",,,,,,"https://dalil140.com/company/en/287203-alex-exchange",prospect — not AURIX partner
